0.1	68.95
0.2	68.95
0.3	68.95
0.4	68.95
0.5	68.95
0.6	68.95
0.7	68.95
0.8	68.95
0.9	68.95
1.0	68.95
1.1	68.95
1.2	68.95
1.3	68.95
1.4	68.95
1.5	68.95
1.6	68.95
1.7	68.95
1.8	68.95
1.9	68.95
2.0	68.95
2.1	68.95
2.2	68.95
2.3	68.95
2.4	68.95
2.5	68.95
2.6	68.95
2.7	68.95
2.8	68.95
2.9	68.95
3.0	68.95
3.1	68.95
3.2	68.95
3.3	68.95
3.4	68.95
3.5	68.95
3.6	68.95
3.7	68.95
3.8	68.95
3.9	68.95
4.0	68.95
4.1	68.95
4.2	68.95
4.3	68.95
4.4	68.95
4.5	68.95
4.6	68.95
4.7	68.95
4.8	68.95
4.9	68.95
5.0	68.95
5.1	68.95
5.2	68.95
5.3	68.95
5.4	68.95
5.5	68.95
5.6	68.95
5.7	68.95
5.8	68.95
5.9	68.95
6.0	68.95
6.1	68.95
6.2	68.95
6.3	68.95
6.4	68.95
6.5	68.95
6.6	68.95
6.7	68.95
6.8	68.95
6.9	68.95
7.0	68.95
7.1	68.95
7.2	68.95
7.3	68.95
7.4	68.95
7.5	68.95
7.6	68.95
7.7	68.95
7.8	68.95
7.9	68.95
8.0	68.95
8.1	68.95
8.2	68.95
8.3	68.95
8.4	68.95
8.5	68.95
8.6	68.95
8.7	68.95
8.8	68.95
8.9	68.95
9.0	68.95
9.1	68.95
9.2	68.95
9.3	68.95
9.4	68.95
9.5	68.95
9.6	68.95
9.7	68.949
9.8	68.949
9.9	68.949
10.0	68.948
10.1	68.948
10.2	68.948
10.3	68.948
10.4	68.947
10.5	68.947
10.6	68.947
10.7	68.946
10.8	68.946
10.9	68.946
11.0	68.946
11.1	68.945
11.2	68.945
11.3	68.945
11.4	68.944
11.5	68.944
11.6	68.944
11.7	68.944
11.8	68.943
11.9	68.943
12.0	68.943
12.1	68.942
12.2	68.942
12.3	68.942
12.4	68.942
12.5	68.941
12.6	68.941
12.7	68.941
12.8	68.94
12.9	68.94
13.0	68.94
13.1	68.94
13.2	68.94
13.3	68.94
13.4	68.94
13.5	68.94
13.6	68.94
13.7	68.94
13.8	68.94
